Approach,train_file_name,test_file_name,kamiran_version,N_train,depth,lambda,time_limit,obj_val,gap,train_acc,train_data_didi,train_pred_didi,train_data_sp,train_pred_sp,test_acc,test_data_didi,test_pred_didi,test_data_sp,test_pred_sp,calibration_acc,calibration_data_didi,calibration_pred_didi,calibration_data_sp,calibration_pred_sp,tree
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,2,0.96,10800,0.0120533333333333,0.9065668405321388,0.6986666666666667,0.2892588224621246,0.0,0.1446294112310623,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,"Any[Any[(1, :no_people, -2.0), (2, :telephn, ""Any[1, 2]""), (3, :telephn, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0), (3, 1.0), (4, 1.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,1,0.94,10800,0.01832,0.0,0.6946666666666667,0.2493490167908772,0.0,0.1246745083954385,0.0,0.716,0.4619963369963369,0.0,0.2309981684981684,0.0,0.716,0.4619963369963369,0.0,0.2309981684981684,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,2,0.42,10800,0.157452028740066,0.9034520575310744,0.7306666666666667,0.2749277082061267,0.0029492747779404,0.1374638541030634,0.0014746373889702,0.688,0.3714495335918666,0.1253537365056074,0.1857247667959333,0.0626768682528037,0.688,0.3714495335918666,0.1253537365056074,0.1857247667959333,0.0626768682528037,"Any[Any[(1, :chek_acc, ""Any[1]""), (2, :purpose, ""Any[1, 6, 8, 10]""), (3, :credit_history, ""Any[2, 3, 4, 5]"")], Any[(1, -0.0), (2, 1.0), (3, 1.0), (4, -0.0)]]"
MIP_DIDI,german_binary_train_1.csv,german_binary_test_1.csv,0,750,2,0.56,10800,0.1186873097468121,0.9028345915148396,0.7306666666666667,0.2749277082061267,0.0003225769288372,0.1374638541030634,0.0001612884644186,0.704,0.3714495335918666,0.0117388114453411,0.1857247667959333,0.0058694057226705,0.704,0.3714495335918666,0.0117388114453411,0.1857247667959333,0.0058694057226705,"Any[Any[(1, :purpose, ""Any[1, 6, 8]""), (2, :chek_acc, ""Any[1, 2]""), (3, :credit_history, ""Any[2, 3, 4, 5]"")], Any[(1, -0.0), (2, 1.0), (3, 1.0), (4, -0.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,1,0.8,10800,0.0602666666666666,0.0,0.6986666666666667,0.2892588224621246,0.0,0.1446294112310623,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,0.704,0.3296557811120917,0.0,0.1648278905560458,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_2.csv,german_binary_test_2.csv,0,750,2,0.72,10800,0.0781256753786343,0.9122341580621568,0.7213333333333334,0.25508800880088,0.0001375137513751,0.12754400440044,6.875687568752564e-05,0.716,0.4326513213981244,0.0149190110826939,0.2163256606990622,0.007459505541347,0.716,0.4326513213981244,0.0149190110826939,0.2163256606990622,0.007459505541347,"Any[Any[(1, :purpose, ""Any[2, 3, 4, 8, 9, 10]""), (2, :credit_history, ""Any[3, 4, 5]""), (3, :chek_acc, ""Any[2, 3, 4]"")], Any[(1, 1.0), (2, -0.0), (3, 1.0), (4, -0.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,3,0.24,10800,0.1968697095828223,0.8913116733958664,0.7413333333333333,0.2892588224621246,0.0011793522634491,0.1446294112310623,0.0005896761317245,0.72,0.3296557811120917,0.0070609002647838,0.1648278905560458,0.0035304501323919,0.72,0.3296557811120917,0.0070609002647838,0.1648278905560458,0.0035304501323919,"Any[Any[(1, :credit_history, ""Any[3, 4, 5]""), (2, :installment, ""Any[3]""), (3, :instalrate, 2.00000000000003), (4, :existing_cards, 0.0), (5, :purpose, ""Any[1, 6, 7, 9]""), (6, :Housing, ""Any[1, 3]""), (7, :chek_acc, ""Any[1, 2, 3]"")], Any[(1, -0.0), (2, 1.0), (3, -0.0), (4, 1.0), (5, -0.0), (6, 1.0), (7, -0.0), (8, 1.0)]]"
MIP_DIDI,german_binary_train_2.csv,german_binary_test_2.csv,0,750,2,0.66,10800,0.0946563696369525,0.912038961147623,0.7226666666666667,0.25508800880088,0.0005500550055005,0.12754400440044,0.0002750275027503,0.704,0.4326513213981244,0.0724637681159419,0.2163256606990622,0.0362318840579709,0.704,0.4326513213981244,0.0724637681159419,0.2163256606990622,0.0362318840579709,"Any[Any[(1, :chek_acc, ""Any[2, 3, 4]""), (2, :credit_history, ""Any[2, 3, 4, 5]""), (3, :purpose, ""Any[2, 4, 9, 10]"")], Any[(1, 1.0), (2, -0.0), (3, 1.0), (4, -0.0)]]"
MIP_DIDI,german_binary_train_4.csv,german_binary_test_4.csv,0,750,3,0.18,10800,0.2135837422471398,0.8919079206409656,0.74,0.2892588224621246,0.0021319060146965,0.1446294112310623,0.0010659530073482,0.712,0.3296557811120917,0.1195939982347749,0.1648278905560458,0.0597969991173874,0.712,0.3296557811120917,0.1195939982347749,0.1648278905560458,0.0597969991173874,"Any[Any[(1, :credit_history, ""Any[3, 4, 5]""), (2, :present_employmment, ""Any[3, 4, 5]""), (3, :Housing, ""Any[2]""), (4, :no_people, 0.0), (5, :purpose, ""Any[7, 8, 10]""), (6, :purpose, ""Any[1, 2, 3, 7]""), (7, :guatan, ""Any[2]"")], Any[(1, -0.0), (2, 1.0), (3, -0.0), (4, 1.0), (5, -0.0), (6, 1.0), (7, 1.0), (8, -0.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,3,0.78,10800,0.0623039171489005,0.8799082080690883,0.724,0.3470403086607778,0.0020306630114732,0.1735201543303889,0.0010153315057366,0.708,0.1372879451746994,0.0035951016739692,0.0686439725873496,0.0017975508369846,0.708,0.1372879451746994,0.0035951016739692,0.0686439725873496,0.0017975508369846,"Any[Any[(1, :job, ""Any[1]""), (2, :purpose, ""Any[2, 4]""), (3, :credit_history, ""Any[1, 2]""), (4, :saving_amo, ""Any[3]""), (5, :chek_acc, ""Any[1, 3]""), (6, :Housing, ""Any[1, 3]""), (7, :property, ""Any[1, 2, 3, 4]"")], Any[(1, 1.0), (2, -0.0), (3, 0.0), (4, 1.0), (5, 0.0), (6, 1.0), (7, 1.0), (8, 0.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,2,0.12,10800,0.2384529119151185,0.9092057891401636,0.732,0.2493490167908772,0.0217742659603124,0.1246745083954385,0.0108871329801562,0.724,0.4619963369963369,0.1117216117216117,0.2309981684981684,0.0558608058608058,0.724,0.4619963369963369,0.1117216117216117,0.2309981684981684,0.0558608058608058,"Any[Any[(1, :purpose, ""Any[5, 6, 7, 8, 9]""), (2, :chek_acc, ""Any[1]""), (3, :credit_history, ""Any[3, 4, 5]"")], Any[(1, -0.0), (2, 1.0), (3, 1.0), (4, -0.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,2,0.06,10800,0.2532264559576187,0.9409187284524568,0.732,0.2493490167908772,0.0217742659603124,0.1246745083954385,0.0108871329801562,0.724,0.4619963369963369,0.1117216117216117,0.2309981684981684,0.0558608058608058,0.724,0.4619963369963369,0.1117216117216117,0.2309981684981684,0.0558608058608058,"Any[Any[(1, :purpose, ""Any[5, 6, 7, 8, 9]""), (2, :chek_acc, ""Any[1]""), (3, :credit_history, ""Any[1, 2]"")], Any[(1, -0.0), (2, 1.0), (3, 0.0), (4, 1.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,3,0.44,10800,0.1508564392479777,0.8737503534204689,0.7306666666666667,0.3470403086607778,6.768876704905946e-05,0.1735201543303889,3.384438352449504e-05,0.712,0.1372879451746994,0.0779687675542073,0.0686439725873496,0.0389843837771036,0.712,0.1372879451746994,0.0779687675542073,0.0686439725873496,0.0389843837771036,"Any[Any[(1, :job, ""Any[2, 4]""), (2, :chek_acc, ""Any[2]""), (3, :credit_history, ""Any[1, 2]""), (4, :purpose, ""Any[2, 5, 6, 7, 9, 10]""), (5, :purpose, ""Any[6, 7]""), (6, :property, ""Any[2, 4]""), (7, :job, ""Any[1, 4]"")], Any[(1, 1.0), (2, -0.0), (3, -0.0), (4, 1.0), (5, 0.0), (6, 1.0), (7, 1.0), (8, 1.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,3,0.68,10800,0.0830955318644723,0.8690280471716257,0.7413333333333333,0.3470403086607778,0.0004738213693437,0.1735201543303889,0.0002369106846719,0.732,0.1372879451746994,0.0458375463431074,0.0686439725873496,0.0229187731715536,0.732,0.1372879451746994,0.0458375463431074,0.0686439725873496,0.0229187731715536,"Any[Any[(1, :credit_history, ""Any[1, 2]""), (2, :chek_acc, ""Any[3, 4]""), (3, :installment, ""Any[1, 2]""), (4, :job, ""Any[2, 3]""), (5, :purpose, ""Any[1, 3, 4, 5, 8, 10]""), (6, :purpose, ""Any[2, 3, 4, 5, 6, 9, 10]""), (7, :guatan, ""Any[1, 3]"")], Any[(1, 1.0), (2, -0.0), (3, -0.0), (4, 1.0), (5, 1.0), (6, -0.0), (7, 1.0), (8, -0.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,1,0.8,10800,0.0610666666666666,0.0,0.6946666666666667,0.2493490167908772,0.0,0.1246745083954385,0.0,0.716,0.4619963369963369,0.0,0.2309981684981684,0.0,0.716,0.4619963369963369,0.0,0.2309981684981684,0.0,"Any[Any[(1, :telephn, ""Any[1, 2]"")], Any[(1, 1.0), (2, 1.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,2,0.02,10800,0.244756112657508,0.979624695450216,0.7506666666666667,0.2493490167908772,0.020472299542067,0.1246745083954385,0.0102361497710334,0.72,0.4619963369963369,0.0892857142857142,0.2309981684981684,0.044642857142857,0.72,0.4619963369963369,0.0892857142857142,0.2309981684981684,0.044642857142857,"Any[Any[(1, :month_duration, 2.999999999999997), (2, :credit_history, ""Any[3, 4, 5]""), (3, :chek_acc, ""Any[1, 2]"")], Any[(1, 1.0), (2, 0.0), (3, 0.0), (4, 1.0)]]"
MIP_DIDI,german_binary_train_5.csv,german_binary_test_5.csv,0,750,3,0.54,10800,0.1219151751446767,0.8716765398904396,0.736,0.3470403086607778,0.0008799539716384,0.1735201543303889,0.0004399769858192,0.704,0.1372879451746994,0.0905516234130996,0.0686439725873496,0.0452758117065498,0.704,0.1372879451746994,0.0905516234130996,0.0686439725873496,0.0452758117065498,"Any[Any[(1, :no_people, 1.0000000000000622), (2, :purpose, ""Any[2, 4, 5, 9, 10]""), (3, :purpose, ""Any[2, 3, 4, 5, 9, 10]""), (4, :present_resident, 1.0), (5, :chek_acc, ""Any[2, 3, 4]""), (6, :credit_history, ""Any[2, 3, 4, 5]""), (7, :present_employmment, ""Any[2, 3, 4]"")], Any[(1, 1.0), (2, 1.0), (3, 1.0), (4, -0.0), (5, 1.0), (6, -0.0), (7, 1.0), (8, -0.0)]]"
MIP_DIDI,german_binary_train_3.csv,german_binary_test_3.csv,0,750,2,0.16,10800,0.2127155679267305,0.9848999229430552,0.7506666666666667,0.2493490167908772,0.020472299542067,0.1246745083954385,0.0102361497710334,0.72,0.4619963369963369,0.0892857142857142,0.2309981684981684,0.044642857142857,0.72,0.4619963369963369,0.0892857142857142,0.2309981684981684,0.044642857142857,"Any[Any[(1, :month_duration, 2.9999999999999982), (2, :credit_history, ""Any[3, 4, 5]""), (3, :chek_acc, ""Any[1, 2]"")], Any[(1, 1.0), (2, 0.0), (3, 0.0), (4, 1.0)]]"
MIP_DIDI,german_binary_train_2.csv,german_binary_test_2.csv,0,750,2,0.62,10800,0.10572769336126,0.9119851169999468,0.7226666666666667,0.25508800880088,0.0005500550055005,0.12754400440044,0.0002750275027503,0.704,0.4326513213981244,0.0724637681159419,0.2163256606990622,0.0362318840579709,0.704,0.4326513213981244,0.0724637681159419,0.2163256606990622,0.0362318840579709,"Any[Any[(1, :chek_acc, ""Any[2, 3, 4]""), (2, :credit_history, ""Any[2, 3, 4, 5]""), (3, :purpose, ""Any[2, 4, 9, 10]"")], Any[(1, 1.0), (2, 0.0), (3, 1.0), (4, -0.0)]]"
