approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,9,-19579,0.686230248,4.377138771,1033,7207.932892,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19579,0.686230248,3.217733286,1625,7208.988065,0.672067401,0.678010471,4,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19462,0.723960013,3.637858391,2073,7207.973131,0.725210629,0.742801047,4,1,0.409090909,1,0.393939394,1,0.403846154
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19453,0.726862302,0,1760,245.8159728,0.71095269,0.72578534,4,0.56043956,0.309151949,0.765306122,0.816326531,0.350114943,0.357142857
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7220,0.6717188,0,41,358.1511869,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,7200,2,-7220,0.6717188,0,29,352.4783125,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,7200,2,-7220,0.6717188,0,37,700.558111,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7220,0.6717188,0,31,312.5913334,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,7200,2,-7220,0.6717188,0,31,192.1411533,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,7200,2,-7220,0.6717188,0,39,300.3252077,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7220,0.6717188,0,37,31.35307288,0.69669475,0.682591623,5,0.648809524,0.375,0.583030303,0.336969697,0.65,0.202599085
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,2,-19624,0.6717188,0,1423,3249.204799,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,2,-19624,0.6717188,0.005095801,2332,6109.480041,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19624,0.6717188,2.761924174,1048,7207.478096,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,2,-19624,0.6717188,0.005095801,3295,5135.232378,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19624,0.6717188,4.102119853,1668,7207.873265,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19624,0.6717188,5.044843049,1533,7206.323684,0.69669475,0.682591623,5,1,0,1,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19491,0.714608191,0,2059,207.3476019,0.750486066,0.737565445,5,0.648809524,0.375,0.583030303,0.583030303,0.65,0.233862782
