approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7175,0.686230248,0,31,550.8624444,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.3,3101,1,0,7200,2,-7175,0.686230248,0,35,465.5652778,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,1,0,7200,2,-7175,0.686230248,0,37,463.4982698,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7175,0.686230248,0,31,20.26344061,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.01,3101,2,0,7200,9,-19579,0.686230248,1.869349814,864,7206.592294,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,2,0,7200,9,-19578,0.686552725,2.175911738,1057,7206.742075,0.672715489,0.67604712,4,0.705882353,0.027777778,1,0.0625,0.625,0.142857143
FlowOCT,compas_enc.csv,CSP,0.1,3101,2,0,7200,9,-19578,0.686552725,2.696904689,1099,7206.571068,0.672715489,0.67604712,4,0.705882353,0.027777778,1,0.0625,0.625,0.142857143
FlowOCT,compas_enc.csv,CSP,0.2,3101,2,0,7200,9,-19578,0.686552725,3.897231586,1159,7205.698489,0.672715489,0.67604712,4,0.705882353,0.027777778,1,0.0625,0.625,0.142857143
FlowOCT,compas_enc.csv,CSP,0.3,3101,2,0,7200,9,-19579,0.686230248,4.290311048,1772,7205.85604,0.672067401,0.678010471,4,0.705882353,0,1,0,0.625,0
FlowOCT,compas_enc.csv,CSP,0.5,3101,2,0,7200,9,-19453,0.726862302,3.983961343,2263,7206.530774,0.71095269,0.72578534,4,0.705882353,0.333333333,1,1,0.625,0.25
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19453,0.726862302,0,1760,225.0318854,0.71095269,0.72578534,4,0.705882353,0.333333333,1,1,0.625,0.25
FlowOCT,compas_enc.csv,CSP,0.01,3101,1,0,7200,2,-7220,0.6717188,0,29,344.170469,0.69669475,0.682591623,5,0.823529412,1.11E-16,0.508474576,0,1,0
FlowOCT,compas_enc.csv,CSP,0.05,3101,1,0,7200,2,-7220,0.6717188,0,35,237.4316487,0.69669475,0.682591623,5,0.823529412,1.11E-16,0.508474576,0,1,0
FlowOCT,compas_enc.csv,CSP,0.1,3101,1,0,7200,2,-7220,0.6717188,0,37,992.0277598,0.69669475,0.682591623,5,0.823529412,1.11E-16,0.508474576,0,1,0
FlowOCT,compas_enc.csv,CSP,0.2,3101,1,0,7200,2,-7220,0.6717188,0,39,382.1119435,0.69669475,0.682591623,5,0.823529412,1.11E-16,0.508474576,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,1,0,7200,2,-7220,0.6717188,0,37,25.73863745,0.69669475,0.682591623,5,0.823529412,1.11E-16,0.508474576,0,1,0
FlowOCT,compas_enc.csv,None,1,3101,2,0,7200,2,-19491,0.714608191,0,2059,359.6908424,0.750486066,0.737565445,5,0.823529412,0.343137255,0.508474576,0.432038835,1,0.5
