dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
compas,5,gridsearch,1,LR,DP,0.5670771224886585,1.0,0.5692374162886152,1.0,"0.0,5.0,2.5,0.0,2.5,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5690213869086196,1.0,0.570101533808598,1.0,"0.0,7.5,0.0,0.0,2.5,0.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.41672067401166557,0.9773584905660377,0.4113199395117736,0.9726890756302521,"0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4303305249513934,1.0,0.4249297904515014,1.0,"0.0,0.0,0.0,0.0,0.0,7.5,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4199611147116008,0.9836477987421384,0.4141283214517174,0.9844537815126051,"0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4588464031108231,0.7683962264150944,0.4532296392309354,0.802867029164607,"0.0,0.0,2.5,0.0,0.0,7.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4335709656513286,1.0,0.4303305249513934,1.0,"0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43551523007128967,1.0,0.423849643551523,1.0,"0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4225534672715489,0.9886792452830189,0.41607258587167856,0.9911764705882353,"0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4899546338302009,1.0,0.4888744869302225,1.0,"0.0,0.0,2.5,0.0,0.0,5.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,2.5,7.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.5061568373298768,1.0,0.5055087491898899,1.0,"0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43616331821127674,1.0,0.4419961114711601,1.0,"0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.43681140635126375,0.9962264150943396,0.4350831713112983,0.9978991596638656,"0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0",11.711728811264038
compas,5,gridsearch,1,LR,DP,0.4938431626701231,1.0,0.4944912508101102,1.0,"0.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0",11.711728811264038
