dataset,split,method,seed,classifier,metric,test_acc,test_disp,train_acc,train_disp,hyp,time
german_binary,1,correlation_remover,1,RF,FPR,0.756,0.015274034141958714,0.9986666666666667,0.0,0.0,0.22847771644592285
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.1111111111111111,0.2582559585571289
german_binary,1,correlation_remover,1,RF,FPR,0.776,0.2893081761006289,1.0,0.0,0.2222222222222222,0.22600054740905762
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.3333333333333333,0.2458031177520752
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.4444444444444444,0.21158194541931152
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.5555555555555556,0.2288963794708252
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.6666666666666666,0.26149845123291016
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.7777777777777777,0.24338960647583008
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,0.8888888888888888,0.24935531616210938
german_binary,1,correlation_remover,1,RF,FPR,0.772,0.3081761006289308,1.0,0.0,1.0,0.21314716339111328
german_binary,1,correlation_remover,1,RF,EO,0.756,0.16410256410256407,0.9986666666666667,0.011904761904761862,0.0,0.1751847267150879
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.1111111111111111,0.22732067108154297
german_binary,1,correlation_remover,1,RF,EO,0.776,0.2893081761006289,1.0,0.0,0.2222222222222222,0.20768260955810547
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.3333333333333333,0.2353205680847168
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.4444444444444444,0.20006966590881348
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.5555555555555556,0.1850147247314453
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.6666666666666666,0.207319974899292
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.7777777777777777,0.2284717559814453
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,0.8888888888888888,0.26561546325683594
german_binary,1,correlation_remover,1,RF,EO,0.772,0.3081761006289308,1.0,0.0,1.0,0.2158794403076172
german_binary,1,correlation_remover,1,LR,DP,0.764,0.07640708521119377,0.7706666666666667,0.076681144226449,0.0,0.525810956954956
german_binary,1,correlation_remover,1,LR,DP,0.76,0.05513048946651289,0.7693333333333333,0.052407230331447785,0.1111111111111111,0.2960174083709717
german_binary,1,correlation_remover,1,LR,DP,0.76,0.05513048946651289,0.7693333333333333,0.026485869978456478,0.2222222222222222,0.26743125915527344
german_binary,1,correlation_remover,1,LR,DP,0.76,0.05513048946651289,0.764,0.0038594025414453448,0.3333333333333333,0.28984713554382324
german_binary,1,correlation_remover,1,LR,DP,0.76,0.012577297977151236,0.7626666666666667,0.015068950818538873,0.4444444444444444,0.2798910140991211
german_binary,1,correlation_remover,1,LR,DP,0.76,0.012577297977151236,0.7626666666666667,0.02905496480455294,0.5555555555555556,0.06979751586914062
german_binary,1,correlation_remover,1,LR,DP,0.76,0.012577297977151236,0.7653333333333333,0.03440052533956983,0.6666666666666666,0.07464885711669922
german_binary,1,correlation_remover,1,LR,DP,0.76,0.012577297977151236,0.7653333333333333,0.04633587170654718,0.7777777777777777,0.056670427322387695
german_binary,1,correlation_remover,1,LR,DP,0.764,0.007651189602767006,0.7666666666666667,0.056623771615534335,0.8888888888888888,0.04889369010925293
german_binary,1,correlation_remover,1,LR,DP,0.76,0.012577297977151236,0.7666666666666667,0.05332887869955416,1.0,0.059128761291503906
german_binary,1,correlation_remover,1,LR,TPR,0.764,0.13230769230769224,0.7706666666666667,0.02359307359307361,0.0,0.07818055152893066
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.13230769230769224,0.7693333333333333,0.009415584415584322,0.1111111111111111,0.06705546379089355
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.13230769230769224,0.7693333333333333,0.004761904761904745,0.2222222222222222,0.05325818061828613
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.13230769230769224,0.764,0.00703463203463206,0.3333333333333333,0.05112934112548828
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7626666666666667,0.009307359307359264,0.4444444444444444,0.07286524772644043
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7626666666666667,0.021212121212121127,0.5555555555555556,0.06825041770935059
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7653333333333333,0.030844155844155896,0.6666666666666666,0.07845425605773926
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7653333333333333,0.0331168831168831,0.7777777777777777,0.0641028881072998
german_binary,1,correlation_remover,1,LR,TPR,0.764,0.0938461538461538,0.7666666666666667,0.04729437229437228,0.8888888888888888,0.0627126693725586
german_binary,1,correlation_remover,1,LR,TPR,0.76,0.0938461538461538,0.7666666666666667,0.04502164502164496,1.0,0.06083965301513672
german_binary,1,correlation_remover,1,LR,FPR,0.764,0.1482479784366577,0.7706666666666667,0.030447579417436366,0.0,0.06691718101501465
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.19586702605570527,0.7693333333333333,0.009438749619405273,0.1111111111111111,0.08792805671691895
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.19586702605570527,0.7693333333333333,0.05531310260834266,0.2222222222222222,0.0739140510559082
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.19586702605570527,0.764,0.10616056023546128,0.3333333333333333,0.08564972877502441
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.24348607367475295,0.7626666666666667,0.15203491322439866,0.4444444444444444,0.05848383903503418
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.24348607367475295,0.7626666666666667,0.1689840657667715,0.5555555555555556,0.09009122848510742
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.24348607367475295,0.7653333333333333,0.1689840657667715,0.6666666666666666,0.08141732215881348
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.24348607367475295,0.7653333333333333,0.1979092662133361,0.7777777777777777,0.0480196475982666
german_binary,1,correlation_remover,1,LR,FPR,0.764,0.26235399820305483,0.7666666666666667,0.2038972901654319,0.8888888888888888,0.04951643943786621
german_binary,1,correlation_remover,1,LR,FPR,0.76,0.24348607367475295,0.7666666666666667,0.1979092662133361,1.0,0.07494926452636719
german_binary,1,correlation_remover,1,LR,EO,0.764,0.1482479784366577,0.7706666666666667,0.030447579417436366,0.0,0.06943464279174805
german_binary,1,correlation_remover,1,LR,EO,0.76,0.19586702605570527,0.7693333333333333,0.009438749619405273,0.1111111111111111,0.09188675880432129
german_binary,1,correlation_remover,1,LR,EO,0.76,0.19586702605570527,0.7693333333333333,0.05531310260834266,0.2222222222222222,0.06714749336242676
german_binary,1,correlation_remover,1,LR,EO,0.76,0.19586702605570527,0.764,0.10616056023546128,0.3333333333333333,0.04878401756286621
german_binary,1,correlation_remover,1,LR,EO,0.76,0.24348607367475295,0.7626666666666667,0.15203491322439866,0.4444444444444444,0.05978250503540039
german_binary,1,correlation_remover,1,LR,EO,0.76,0.24348607367475295,0.7626666666666667,0.1689840657667715,0.5555555555555556,0.05223393440246582
german_binary,1,correlation_remover,1,LR,EO,0.76,0.24348607367475295,0.7653333333333333,0.1689840657667715,0.6666666666666666,0.10367703437805176
german_binary,1,correlation_remover,1,LR,EO,0.76,0.24348607367475295,0.7653333333333333,0.1979092662133361,0.7777777777777777,0.06798791885375977
german_binary,1,correlation_remover,1,LR,EO,0.764,0.26235399820305483,0.7666666666666667,0.2038972901654319,0.8888888888888888,0.06009197235107422
german_binary,1,correlation_remover,1,LR,EO,0.76,0.24348607367475295,0.7666666666666667,0.1979092662133361,1.0,0.0641944408416748
german_binary,1,correlation_remover,1,DT,DP,0.696,0.051357300073367584,0.9986666666666667,0.14445686109607037,0.0,0.014219999313354492
german_binary,1,correlation_remover,1,DT,DP,0.66,0.17430038780002088,1.0,0.1374638541030634,0.1111111111111111,0.013815879821777344
