dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
3,0.05,1,66.008,0.12689,64.397,0.16946,56.351,0,56.874,0.016357
3,0.05,2,67.336,0.17236,67.315,0.23203,57.647,0,57.069,0.047749
3,0.05,3,68.6,0.17492,68.288,0.22657,61.73,0.019463,61.025,0.081422
3,0.1,1,66.008,0.12689,64.397,0.16946,56.351,0,56.874,0.016357
3,0.1,2,67.336,0.17236,67.315,0.23203,57.647,0,57.069,0.047749
3,0.1,3,68.6,0.17492,68.288,0.22657,61.73,0.019463,61.025,0.081422
3,0.15,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.15,2,67.336,0.17236,67.315,0.23203,66.008,0.12689,64.397,0.16946
3,0.15,3,68.6,0.17492,68.288,0.22657,66.105,0.11109,65.24,0.14317
3,0.2,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.2,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.2,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.25,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.25,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.25,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.3,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.3,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.3,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.35,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.35,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.35,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.4,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.4,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.4,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.45,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.45,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.45,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.5,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.5,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.5,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.55,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.55,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.55,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.6,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.6,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.6,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.65,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.65,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.65,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.7,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.7,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.7,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.75,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.75,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.75,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.8,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.8,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.8,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.85,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.85,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.85,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
3,0.9,1,66.008,0.12689,64.397,0.16946,66.008,0.12689,64.397,0.16946
3,0.9,2,67.336,0.17236,67.315,0.23203,67.336,0.17236,67.315,0.23203
3,0.9,3,68.6,0.17492,68.288,0.22657,68.6,0.17492,68.288,0.22657
4,0.01,1,66.785,0.16293,65.694,0.18572,48.283,0,47.082,-0.091416
4,0.01,2,68.697,0.1675,66.667,0.15978,53.856,0,50.324,-0.09227
4,0.01,3,68.892,0.18958,66.796,0.17828,59.17,0,57.717,0.055649
4,0.05,1,66.785,0.16293,65.694,0.18572,57.842,0.029679,56.55,0.011913
