dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
3,0.6,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.6,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.6,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.65,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.65,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.65,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.7,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.7,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.7,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.75,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.75,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.75,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.8,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.8,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.8,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.85,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.85,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.85,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
3,0.9,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
3,0.9,2,75.764,-0.032934,75.657,-0.032126,75.764,-0.032934,75.657,-0.032126
3,0.9,3,76.034,-0.056004,75.851,-0.056085,76.034,-0.056004,75.851,-0.056085
4,0.01,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.01,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.01,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.05,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.05,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.05,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.1,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.1,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.1,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.15,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.15,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.15,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.2,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.2,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.2,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.25,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.25,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.25,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.3,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.3,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.3,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.35,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.35,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.35,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.4,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.4,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.4,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.45,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.45,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.45,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.5,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.5,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.5,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.55,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.55,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.55,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.6,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.6,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.6,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.65,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.65,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.65,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.7,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.7,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.7,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.75,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.75,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.75,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.8,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.8,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.8,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.85,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.85,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.85,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
4,0.9,1,75.216,-1.42E-08,75.215,-5.70E-08,75.216,-1.42E-08,75.215,-5.70E-08
4,0.9,2,75.671,-0.02926,75.789,-0.033488,75.671,-0.02926,75.789,-0.033488
4,0.9,3,75.914,-0.053146,75.993,-0.054451,75.914,-0.053146,75.993,-0.054451
5,0.01,1,78.02,0.068663,78.019,0.066955,77.843,0,77.877,-0.075305
5,0.01,2,80.881,0.18194,80.823,0.17584,77.843,0,77.877,-0.075305
5,0.01,3,80.881,0.18194,80.823,0.17584,77.843,0,77.877,-0.075305
5,0.05,1,78.02,0.068663,78.019,0.066955,77.843,0,77.877,-0.075305
5,0.05,2,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.05,3,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.1,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.1,2,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.1,3,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.15,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.15,2,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.15,3,80.881,0.18194,80.823,0.17584,80.704,0.041769,80.681,0.033579
5,0.2,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.2,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.2,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.25,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.25,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.25,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.3,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.3,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.3,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.35,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.35,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.35,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.4,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.4,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.4,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.45,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.45,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.45,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.5,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.5,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.5,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.55,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.55,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.55,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.6,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.6,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.6,3,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
5,0.65,1,78.02,0.068663,78.019,0.066955,78.02,0.068663,78.019,0.066955
5,0.65,2,80.881,0.18194,80.823,0.17584,80.881,0.18194,80.823,0.17584
