dataset,split,method,seed,classifier,metric,acc,disp,hyp
adult,1,correlation_remover,1,RF,FPR,0.8175308314547143,0.10053133998159203,0.6666666666666666
adult,1,correlation_remover,1,RF,FPR,0.8173982230473412,0.10127863578406951,0.7777777777777777
adult,1,correlation_remover,1,RF,FPR,0.8177960482694603,0.10099259459413815,0.8888888888888888
adult,1,correlation_remover,1,RF,FPR,0.8176634398620872,0.10042051221427545,1.0
adult,1,correlation_remover,1,RF,EO,0.8159395305662379,0.10161111908601923,0.0
adult,1,correlation_remover,1,RF,EO,0.8173982230473412,0.10156467697400084,0.1111111111111111
adult,1,correlation_remover,1,RF,EO,0.8179286566768333,0.09990056735099728,0.2222222222222222
adult,1,correlation_remover,1,RF,EO,0.8179286566768333,0.10070655340420681,0.3333333333333333
adult,1,correlation_remover,1,RF,EO,0.8177960482694603,0.10024529879166069,0.4444444444444444
adult,1,correlation_remover,1,RF,EO,0.8170003978252222,0.10156467697400084,0.5555555555555556
adult,1,correlation_remover,1,RF,EO,0.8175308314547143,0.10053133998159203,0.6666666666666666
adult,1,correlation_remover,1,RF,EO,0.8173982230473412,0.10127863578406951,0.7777777777777777
adult,1,correlation_remover,1,RF,EO,0.8177960482694603,0.10099259459413815,0.8888888888888888
adult,1,correlation_remover,1,RF,EO,0.8176634398620872,0.10042051221427545,1.0
adult,1,correlation_remover,1,LR,DP,0.7634266012465191,0.12985306968096758,0.0
adult,1,correlation_remover,1,LR,DP,0.7634266012465191,0.12828290285074187,0.1111111111111111
adult,1,correlation_remover,1,LR,DP,0.7624983423949079,0.12865915552178278,0.2222222222222222
adult,1,correlation_remover,1,LR,DP,0.7618353003580427,0.128855426375561,0.3333333333333333
adult,1,correlation_remover,1,LR,DP,0.7603766078769394,0.12808663199696366,0.4444444444444444
adult,1,correlation_remover,1,LR,DP,0.7602439994695663,0.12749781943562902,0.5555555555555556
adult,1,correlation_remover,1,LR,DP,0.7595809574327013,0.12808663199696366,0.6666666666666666
adult,1,correlation_remover,1,LR,DP,0.7601113910621934,0.1273015485818508,0.7777777777777777
adult,1,correlation_remover,1,LR,DP,0.7606418246916854,0.12573138175162507,0.8888888888888888
adult,1,correlation_remover,1,LR,DP,0.7602439994695663,0.1253551290805842,1.0
adult,1,correlation_remover,1,LR,TPR,0.7634266012465191,0.2448292772911127,0.0
adult,1,correlation_remover,1,LR,TPR,0.7634266012465191,0.24232771381393947,0.1111111111111111
adult,1,correlation_remover,1,LR,TPR,0.7624983423949079,0.24170232294464616,0.2222222222222222
adult,1,correlation_remover,1,LR,TPR,0.7618353003580427,0.24045154120605955,0.3333333333333333
adult,1,correlation_remover,1,LR,TPR,0.7603766078769394,0.23482302338241978,0.4444444444444444
adult,1,correlation_remover,1,LR,TPR,0.7602439994695663,0.23357224164383317,0.5555555555555556
adult,1,correlation_remover,1,LR,TPR,0.7595809574327013,0.23294685077453986,0.6666666666666666
adult,1,correlation_remover,1,LR,TPR,0.7601113910621934,0.23294685077453986,0.7777777777777777
adult,1,correlation_remover,1,LR,TPR,0.7606418246916854,0.23169606903595324,0.8888888888888888
adult,1,correlation_remover,1,LR,TPR,0.7602439994695663,0.22919450555878002,1.0
adult,1,correlation_remover,1,LR,FPR,0.7634266012465191,0.07255735600834269,0.0
adult,1,correlation_remover,1,LR,FPR,0.7634266012465191,0.0714131912486173,0.1111111111111111
adult,1,correlation_remover,1,LR,FPR,0.7624983423949079,0.07238214258572792,0.2222222222222222
adult,1,correlation_remover,1,LR,FPR,0.7618353003580427,0.07324026615552197,0.3333333333333333
adult,1,correlation_remover,1,LR,FPR,0.7603766078769394,0.07455964433786215,0.4444444444444444
adult,1,correlation_remover,1,LR,FPR,0.7602439994695663,0.0742736031479308,0.5555555555555556
adult,1,correlation_remover,1,LR,FPR,0.7595809574327013,0.0754177679076562,0.6666666666666666
adult,1,correlation_remover,1,LR,FPR,0.7601113910621934,0.0742736031479308,0.7777777777777777
