dataset,split,method,seed,classifier,metric,acc,disp,hyp,time
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.5555555555555556,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.6666666666666666,
german_binary,1,correlation_remover,1,SVM,TPR,0.74,0.0738461538461539,0.7777777777777777,
german_binary,1,correlation_remover,1,SVM,TPR,0.744,0.0353846153846154,0.8888888888888888,
german_binary,1,correlation_remover,1,SVM,TPR,0.744,0.0353846153846154,1.0,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.0,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.1111111111111111,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.2222222222222222,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.3333333333333333,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.4444444444444444,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.5555555555555556,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.6666666666666666,
german_binary,1,correlation_remover,1,SVM,FPR,0.74,0.2057502246181491,0.7777777777777777,
german_binary,1,correlation_remover,1,SVM,FPR,0.744,0.2057502246181491,0.8888888888888888,
german_binary,1,correlation_remover,1,SVM,FPR,0.744,0.2057502246181491,1.0,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.0,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.1111111111111111,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.2222222222222222,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.3333333333333333,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.4444444444444444,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.5555555555555556,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.6666666666666666,
german_binary,1,correlation_remover,1,SVM,EO,0.74,0.2057502246181491,0.7777777777777777,
german_binary,1,correlation_remover,1,SVM,EO,0.744,0.2057502246181491,0.8888888888888888,
german_binary,1,correlation_remover,1,SVM,EO,0.744,0.2057502246181491,1.0,
german_binary,1,correlation_remover,1,MLP,DP,0.756,0.0533487055864165,0.0,
german_binary,1,correlation_remover,1,MLP,DP,0.752,0.0582748139608008,0.1111111111111111,
german_binary,1,correlation_remover,1,MLP,DP,0.752,0.0582748139608008,0.2222222222222222,
german_binary,1,correlation_remover,1,MLP,DP,0.744,0.0419243265905041,0.3333333333333333,
german_binary,1,correlation_remover,1,MLP,DP,0.744,0.015721622471439,0.4444444444444444,
german_binary,1,correlation_remover,1,MLP,DP,0.752,0.0104810816476259,0.5555555555555556,
german_binary,1,correlation_remover,1,MLP,DP,0.752,0.0104810816476259,0.6666666666666666,
german_binary,1,correlation_remover,1,MLP,DP,0.748,0.0055549732732417,0.7777777777777777,
german_binary,1,correlation_remover,1,MLP,DP,0.744,0.0255738392202075,0.8888888888888888,
german_binary,1,correlation_remover,1,MLP,DP,0.752,0.015721622471439,1.0,
german_binary,1,correlation_remover,1,MLP,TPR,0.756,0.1374358974358973,0.0,
german_binary,1,correlation_remover,1,MLP,TPR,0.752,0.1374358974358973,0.1111111111111111,
german_binary,1,correlation_remover,1,MLP,TPR,0.752,0.1374358974358973,0.2222222222222222,
german_binary,1,correlation_remover,1,MLP,TPR,0.744,0.1374358974358973,0.3333333333333333,
german_binary,1,correlation_remover,1,MLP,TPR,0.744,0.1374358974358973,0.4444444444444444,
german_binary,1,correlation_remover,1,MLP,TPR,0.752,0.0989743589743589,0.5555555555555556,
german_binary,1,correlation_remover,1,MLP,TPR,0.752,0.0989743589743589,0.6666666666666666,
german_binary,1,correlation_remover,1,MLP,TPR,0.748,0.0989743589743589,0.7777777777777777,
german_binary,1,correlation_remover,1,MLP,TPR,0.744,0.0989743589743589,0.8888888888888888,
german_binary,1,correlation_remover,1,MLP,TPR,0.752,0.0989743589743589,1.0,
german_binary,1,correlation_remover,1,MLP,FPR,0.756,0.2237196765498652,0.0,
german_binary,1,correlation_remover,1,MLP,FPR,0.752,0.2048517520215633,0.1111111111111111,
german_binary,1,correlation_remover,1,MLP,FPR,0.752,0.2048517520215633,0.2222222222222222,
german_binary,1,correlation_remover,1,MLP,FPR,0.744,0.233602875112309,0.3333333333333333,
german_binary,1,correlation_remover,1,MLP,FPR,0.744,0.3000898472596586,0.4444444444444444,
german_binary,1,correlation_remover,1,MLP,FPR,0.752,0.3189577717879605,0.5555555555555556,
german_binary,1,correlation_remover,1,MLP,FPR,0.752,0.3189577717879605,0.6666666666666666,
german_binary,1,correlation_remover,1,MLP,FPR,0.748,0.3000898472596586,0.7777777777777777,
german_binary,1,correlation_remover,1,MLP,FPR,0.744,0.2147349505840071,0.8888888888888888,
