dataset,epsilon,depth,acc_tr_pre,disc_tr_pre,acc_te_pre,disc_te_pre,acc_tr_post,disc_tr_post,acc_te_post,disc_te_post
2,0.65,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.65,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.7,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.7,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.7,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.75,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.75,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.75,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.8,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.8,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.8,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.85,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.85,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.85,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,0.9,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,0.9,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,0.9,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
2,75,1,70.06,0.18878,68.675,0.28275,70.06,0.18878,68.675,0.28275
2,75,2,70.259,-0.016206,69.478,0.047508,70.259,-0.016206,69.478,0.047508
2,75,3,72.255,0.012572,70.281,0.06431,72.255,0.012572,70.281,0.06431
3,0,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0,2,71.457,0.0084855,69.478,0.060261,70.659,0,63.454,0.15089
3,0,3,78.044,0.045349,66.265,0.069509,69.461,0,59.839,-0.068419
3,0.01,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
3,0.01,2,71.457,0.0084855,69.478,0.060261,71.457,0.0084855,69.478,0.060261
3,0.01,3,78.044,0.045349,66.265,0.069509,69.461,0,59.839,-0.068419
3,0.05,1,70.06,-6.66E-16,70.281,5.55E-16,70.06,-6.66E-16,70.281,5.55E-16
