approach,data,fair type,fair bound,nrow,depth,lambda,time limit,status,obj val,train acc,gap,node count,solving time,test acc,cal acc,sample,sp train data,sp train pred,sp test data,sp test pred,sp cal data,sp cal pred,csp train data,csp train pred,csp test data,csp test pred,csp cal data,csp cal pred,pe train data,pe train pred,pe test data,pe test pred,pe cal data,pe cal pred,EOpp train data,EOpp train pred,EOpp test data,EOpp test pred,EOpp cal data,EOpp cal pred
FlowOCT,compas_enc.csv,EOpp,0.1,3101,1,0,10800,2,1741,0.561431796,0,63,62.21154666,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOpp,0.25,3101,1,0,10800,2,1741,0.561431796,0,42,48.88729429,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOpp,0.2,3101,1,0,10800,2,1741,0.561431796,0,49,73.41679931,0.559948153,0.555628272,1,0.4125,0.008695652,0.407234962,0.005018821,0.8,0.0078125,1,0.05,0.556701031,0.02173913,1,0.023529412,1.11E-16,0,0,0,1,0,0,0.03030303,0,0.011695906,0,0.013215859
FlowOCT,compas_enc.csv,EOpp,0.35,3101,1,0,10800,2,2028,0.653982586,0,43,46.26398849,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.3,3101,1,0,10800,2,1746,0.563044179,0,40,66.87489438,0.569021387,0.556282723,1,0.4125,0.164554865,0.407234962,0.361982434,0.8,0.6,1,1,0.556701031,0.895,1,1,1.11E-16,0.402002861,0,0.571428571,1,0.78343949,0,0.272727273,0,1,0,0.114537445
FlowOCT,compas_enc.csv,EOpp,0.45,3101,1,0,10800,2,2028,0.653982586,0,58,41.86478901,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.4,3101,1,0,10800,2,2028,0.653982586,0,132,58.27913737,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.55,3101,1,0,10800,2,2028,0.653982586,0,53,48.03403401,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.5,3101,1,0,10800,2,2028,0.653982586,0,28,36.91896939,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,EOpp,0.6,3101,1,0,10800,2,2028,0.653982586,0,29,41.19864583,0.6830849,0.651832461,1,0.4125,0.331754658,0.407234962,0.211919699,0.8,0.393410853,1,1,0.556701031,0.714285714,1,1,1.11E-16,0.353025937,0,0.328402367,1,0.385714286,0,0.333333333,0,0.459459459,0,0.483870968
FlowOCT,compas_enc.csv,None,1,3101,1,0,10800,2,2081,0.671073847,0,1,20.77702665,0.69345431,0.687172775,1,0.4125,0.4,0.407234962,0.391566265,0.8,0.268217054,1,1,0.556701031,0,1,0,1.11E-16,0.13832853,0,0.144970414,1,0.5,0,0.666666667,0,0.675675676,0,0.491189427
